,Año,Trimestre,Provincia,Accesos por cada 100 hab
0,2024,1,Buenos Aires,27.8
1,2024,1,Capital Federal,48.78
2,2024,1,Catamarca,17.5
3,2024,1,Chaco,12.48
4,2024,1,Chubut,26.02
5,2024,1,Córdoba,27.77
6,2024,1,Corrientes,13.68
7,2024,1,Entre Ríos,20.72
8,2024,1,Formosa,10.08
9,2024,1,Jujuy,14.74
10,2024,1,La Pampa,33.11
11,2024,1,La Rioja,21.3
12,2024,1,Mendoza,14.67
13,2024,1,Misiones,15.46
14,2024,1,Neuquén,23.66
15,2024,1,Río Negro,21.88
16,2024,1,Salta,13.63
17,2024,1,San Juan,13.15
18,2024,1,San Luis,29.39
19,2024,1,Santa Cruz,20.1
20,2024,1,Santa Fe,25.28
21,2024,1,Santiago Del Estero,12.26
22,2024,1,Tierra Del Fuego,32.54
23,2024,1,Tucumán,14.98
24,2023,4,Buenos Aires,27.68
25,2023,4,Capital Federal,47.8
26,2023,4,Catamarca,17.46
27,2023,4,Chaco,11.85
28,2023,4,Chubut,26.04
29,2023,4,Córdoba,27.76
30,2023,4,Corrientes,13.84
31,2023,4,Entre Ríos,20.91
32,2023,4,Formosa,9.98
33,2023,4,Jujuy,14.77
34,2023,4,La Pampa,32.93
35,2023,4,La Rioja,21.35
36,2023,4,Mendoza,14.55
37,2023,4,Misiones,15.33
38,2023,4,Neuquén,23.78
39,2023,4,Río Negro,21.61
40,2023,4,Salta,13.8
41,2023,4,San Juan,12.75
42,2023,4,San Luis,29.21
43,2023,4,Santa Cruz,21.94
44,2023,4,Santa Fe,25.08
45,2023,4,Santiago Del Estero,12.18
46,2023,4,Tierra Del Fuego,32.75
47,2023,4,Tucumán,15.12
48,2023,3,Buenos Aires,27.5
49,2023,3,Capital Federal,47.6
50,2023,3,Catamarca,17.44
51,2023,3,Chaco,11.46
52,2023,3,Chubut,25.82
53,2023,3,Córdoba,27.57
54,2023,3,Corrientes,13.9
55,2023,3,Entre Ríos,20.58
56,2023,3,Formosa,9.89
57,2023,3,Jujuy,14.73
58,2023,3,La Pampa,32.62
59,2023,3,La Rioja,21.41
