,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2024,1,Buenos Aires,159.13
1,2024,1,Capital Federal,229.94
2,2024,1,Catamarca,91.45
3,2024,1,Chaco,107.51
4,2024,1,Chubut,20.5
5,2024,1,Córdoba,114.89
6,2024,1,Corrientes,102.49
7,2024,1,Entre Ríos,101.36
8,2024,1,Formosa,83.8
9,2024,1,Jujuy,47.52
10,2024,1,La Pampa,26.55
11,2024,1,La Rioja,63.71
12,2024,1,Mendoza,51.85
13,2024,1,Misiones,94.98
14,2024,1,Neuquén,98.16
15,2024,1,Río Negro,75.0
16,2024,1,Salta,84.34
17,2024,1,San Juan,30.58
18,2024,1,San Luis,179.49
19,2024,1,Santa Cruz,31.6
20,2024,1,Santa Fe,100.2
21,2024,1,Santiago Del Estero,44.9
22,2024,1,Tierra Del Fuego,21.54
23,2024,1,Tucumán,103.36
24,2023,4,Buenos Aires,158.49
25,2023,4,Capital Federal,234.44
26,2023,4,Catamarca,89.4
27,2023,4,Chaco,107.14
28,2023,4,Chubut,20.29
29,2023,4,Córdoba,114.03
30,2023,4,Corrientes,100.9
31,2023,4,Entre Ríos,101.18
32,2023,4,Formosa,83.35
33,2023,4,Jujuy,46.2
34,2023,4,La Pampa,25.61
35,2023,4,La Rioja,64.18
36,2023,4,Mendoza,49.46
37,2023,4,Misiones,93.65
38,2023,4,Neuquén,99.63
39,2023,4,Río Negro,74.37
40,2023,4,Salta,83.04
41,2023,4,San Juan,24.78
42,2023,4,San Luis,174.59
43,2023,4,Santa Cruz,36.77
44,2023,4,Santa Fe,99.81
45,2023,4,Santiago Del Estero,44.22
46,2023,4,Tierra Del Fuego,17.92
47,2023,4,Tucumán,101.55
48,2023,3,Buenos Aires,146.84
49,2023,3,Capital Federal,218.13
50,2023,3,Catamarca,87.9
51,2023,3,Chaco,107.5
52,2023,3,Chubut,19.26
53,2023,3,Córdoba,111.5
54,2023,3,Corrientes,99.64
55,2023,3,Entre Ríos,96.26
56,2023,3,Formosa,80.29
57,2023,3,Jujuy,44.55
58,2023,3,La Pampa,24.21
59,2023,3,La Rioja,63.84
60,2023,3,Mendoza,46.96
61,2023,3,Misiones,91.49
62,2023,3,Neuquén,96.57
63,2023,3,Río Negro,70.93
64,2023,3,Salta,80.8
65,2023,3,San Juan,24.45
66,2023,3,San Luis,104.97
67,2023,3,Santa Cruz,15.67
68,2023,3,Santa Fe,97.39
69,2023,3,Santiago Del Estero,41.46
70,2023,3,Tierra Del Fuego,17.17
71,2023,3,Tucumán,98.85
72,2023,2,Buenos Aires,138.35
73,2023,2,Capital Federal,208.01
74,2023,2,Catamarca,86.13
75,2023,2,Chaco,105.45
76,2023,2,Chubut,18.58
77,2023,2,Córdoba,111.82
78,2023,2,Corrientes,97.21
79,2023,2,Entre Ríos,89.37
80,2023,2,Formosa,77.32
81,2023,2,Jujuy,43.56
82,2023,2,La Pampa,22.78
83,2023,2,La Rioja,63.55
84,2023,2,Mendoza,42.69
85,2023,2,Misiones,90.55
86,2023,2,Neuquén,93.97
87,2023,2,Río Negro,70.76
88,2023,2,Salta,79.1
89,2023,2,San Juan,20.39
90,2023,2,San Luis,103.84
91,2023,2,Santa Cruz,15.48
92,2023,2,Santa Fe,94.87
93,2023,2,Santiago Del Estero,37.62
94,2023,2,Tierra Del Fuego,16.92
95,2023,2,Tucumán,96.69
96,2023,1,Buenos Aires,116.18
97,2023,1,Capital Federal,188.65
98,2023,1,Catamarca,87.41
99,2023,1,Chaco,104.33
100,2023,1,Chubut,18.36
101,2023,1,Córdoba,109.57
102,2023,1,Corrientes,94.8
103,2023,1,Entre Ríos,86.71
104,2023,1,Formosa,73.96
105,2023,1,Jujuy,42.75
106,2023,1,La Pampa,20.09
107,2023,1,La Rioja,63.13
108,2023,1,Mendoza,41.45
109,2023,1,Misiones,89.81
110,2023,1,Neuquén,93.42
111,2023,1,Río Negro,74.4
112,2023,1,Salta,76.85
113,2023,1,San Juan,18.7
114,2023,1,San Luis,55.85
115,2023,1,Santa Cruz,14.98
116,2023,1,Santa Fe,92.22
117,2023,1,Santiago Del Estero,36.27
118,2023,1,Tierra Del Fuego,14.58
119,2023,1,Tucumán,95.79
120,2022,4,Buenos Aires,111.0
121,2022,4,Capital Federal,182.86
122,2022,4,Catamarca,83.33
123,2022,4,Chaco,104.02
124,2022,4,Chubut,15.92
125,2022,4,Córdoba,108.77
126,2022,4,Corrientes,94.72
127,2022,4,Entre Ríos,87.47
128,2022,4,Formosa,72.03
129,2022,4,Jujuy,39.32
130,2022,4,La Pampa,19.1
131,2022,4,La Rioja,61.0
132,2022,4,Mendoza,38.76
133,2022,4,Misiones,91.24
134,2022,4,Neuquén,95.37
135,2022,4,Río Negro,75.31
